 ******
 ***************transistor_test************************

 ****** transient analysis tnom=  25.000 temp=  25.000 ******
x

 time         voltage    voltage   
             n_g_u      n_d_d      
  3.5200e-09  1.250e+00  5.128e-01 
  3.5300e-09  1.250e+00  5.128e-01 
  3.5400e-09  1.250e+00  5.128e-01 
  3.5500e-09  1.250e+00  5.128e-01 
  3.5600e-09  1.250e+00  5.128e-01 
  3.5700e-09  1.250e+00  5.128e-01 
  3.5800e-09  1.250e+00  5.128e-01 
  3.5900e-09  1.250e+00  5.128e-01 
  3.6000e-09  1.250e+00  5.128e-01 
  3.6100e-09  1.250e+00  5.128e-01 
  3.6200e-09  1.250e+00  5.128e-01 
  3.6300e-09  1.250e+00  5.128e-01 
  3.6400e-09  1.250e+00  5.128e-01 
  3.6500e-09  1.250e+00  5.128e-01 
  3.6600e-09  1.250e+00  5.128e-01 
  3.6700e-09  1.250e+00  5.128e-01 
  3.6800e-09  1.250e+00  5.128e-01 
  3.6900e-09  1.250e+00  5.128e-01 
  3.7000e-09  1.250e+00  5.128e-01 
  3.7100e-09  1.250e+00  5.128e-01 
  3.7200e-09  1.250e+00  5.128e-01 
  3.7300e-09  1.250e+00  5.128e-01 
  3.7400e-09  1.250e+00  5.128e-01 
  3.7500e-09  1.250e+00  5.128e-01 
  3.7600e-09  1.250e+00  5.128e-01 
  3.7700e-09  1.250e+00  5.128e-01 
  3.7800e-09  1.250e+00  5.128e-01 
  3.7900e-09  1.250e+00  5.128e-01 
  3.8000e-09  1.250e+00  5.128e-01 
  3.8100e-09  1.250e+00  5.128e-01 
  3.8200e-09  1.250e+00  5.128e-01 
  3.8300e-09  1.250e+00  5.128e-01 
  3.8400e-09  1.250e+00  5.128e-01 
  3.8500e-09  1.250e+00  5.128e-01 
  3.8600e-09  1.250e+00  5.128e-01 
  3.8700e-09  1.250e+00  5.128e-01 
  3.8800e-09  1.250e+00  5.128e-01 
  3.8900e-09  1.250e+00  5.128e-01 
  3.9000e-09  1.250e+00  5.128e-01 
  3.9100e-09  1.250e+00  5.128e-01 
  3.9200e-09  1.250e+00  5.128e-01 
  3.9300e-09  1.250e+00  5.128e-01 
  3.9400e-09  1.250e+00  5.128e-01 
  3.9500e-09  1.250e+00  5.128e-01 
  3.9600e-09  1.250e+00  5.128e-01 
  3.9700e-09  1.250e+00  5.128e-01 
  3.9800e-09  1.250e+00  5.128e-01 
  3.9900e-09  1.250e+00  5.128e-01 
  4.0000e-09  1.250e+00  5.128e-01 
  4.0100e-09  1.250e+00  5.128e-01 
  4.0200e-09  1.250e+00  5.128e-01 
  4.0300e-09  1.250e+00  5.128e-01 
  4.0400e-09  1.250e+00  5.128e-01 
  4.0500e-09  1.250e+00  5.128e-01 
  4.0600e-09  1.250e+00  5.128e-01 
  4.0700e-09  1.250e+00  5.128e-01 
  4.0800e-09  1.250e+00  5.128e-01 
  4.0900e-09  1.250e+00  5.128e-01 
  4.1000e-09  1.250e+00  5.128e-01 
  4.1100e-09  1.250e+00  5.128e-01 
  4.1200e-09  1.250e+00  5.128e-01 
  4.1300e-09  1.250e+00  5.128e-01 
  4.1400e-09  1.250e+00  5.128e-01 
  4.1500e-09  1.250e+00  5.128e-01 
  4.1600e-09  1.250e+00  5.128e-01 
  4.1700e-09  1.250e+00  5.128e-01 
  4.1800e-09  1.250e+00  5.128e-01 
  4.1900e-09  1.250e+00  5.128e-01 
  4.2000e-09  1.250e+00  5.128e-01 
  4.2100e-09  1.188e+00  5.136e-01 
  4.2200e-09  1.125e+00  5.170e-01 
  4.2300e-09  1.063e+00  5.232e-01 
  4.2400e-09  1.000e+00  5.322e-01 
  4.2500e-09  9.375e-01  5.439e-01 
  4.2600e-09  8.750e-01  5.589e-01 
  4.2700e-09  8.125e-01  5.770e-01 
  4.2800e-09  7.500e-01  5.981e-01 
  4.2900e-09  6.875e-01  6.229e-01 
  4.3000e-09  6.250e-01  6.508e-01 
  4.3100e-09  5.625e-01  6.817e-01 
  4.3200e-09  5.000e-01  7.157e-01 
  4.3300e-09  4.375e-01  7.518e-01 
  4.3400e-09  3.750e-01  7.893e-01 
  4.3500e-09  3.125e-01  8.273e-01 
  4.3600e-09  2.500e-01  8.645e-01 
  4.3700e-09  1.875e-01  9.000e-01 
  4.3800e-09  1.250e-01  9.331e-01 
  4.3900e-09  6.250e-02  9.631e-01 
  4.4000e-09  0.000e+00  9.905e-01 
  4.4100e-09  0.000e+00  9.905e-01 
  4.4200e-09  0.000e+00  9.905e-01 
  4.4300e-09  0.000e+00  9.905e-01 
  4.4400e-09  0.000e+00  9.905e-01 
  4.4500e-09  0.000e+00  9.905e-01 
  4.4600e-09  0.000e+00  9.905e-01 
  4.4700e-09  0.000e+00  9.905e-01 
  4.4800e-09  0.000e+00  9.905e-01 
  4.4900e-09  0.000e+00  9.905e-01 
  4.5000e-09  0.000e+00  9.905e-01 
  4.5100e-09  0.000e+00  9.905e-01 
  4.5200e-09  0.000e+00  9.905e-01 
  4.5300e-09  0.000e+00  9.905e-01 
  4.5400e-09  0.000e+00  9.905e-01 
  4.5500e-09  0.000e+00  9.905e-01 
  4.5600e-09  0.000e+00  9.905e-01 
  4.5700e-09  0.000e+00  9.905e-01 
  4.5800e-09  0.000e+00  9.905e-01 
  4.5900e-09  0.000e+00  9.905e-01 
  4.6000e-09  0.000e+00  9.905e-01 
  4.6100e-09  0.000e+00  9.905e-01 
  4.6200e-09  0.000e+00  9.905e-01 
  4.6300e-09  0.000e+00  9.905e-01 
  4.6400e-09  0.000e+00  9.905e-01 
  4.6500e-09  0.000e+00  9.905e-01 
  4.6600e-09  0.000e+00  9.905e-01 
  4.6700e-09  0.000e+00  9.905e-01 
  4.6800e-09  0.000e+00  9.905e-01 
  4.6900e-09  0.000e+00  9.905e-01 
  4.7000e-09  0.000e+00  9.905e-01 
  4.7100e-09  0.000e+00  9.905e-01 
